study_id , measurement_id , elevation_masl , glacier_name , rgi_id , start_date , end_date , to_bottom , site_description , notes , max_depth , model_time , site_coords
1,878,3759.0,Alphubel South@3755, RGI60-11.01150 ,,,false,,,20.3,,
1,885,3775.0,Alphubel South@3775, RGI60-11.01150 ,,,false,,,15.0,,
1,886,3789.0,Alphubel South@3785, RGI60-11.01150 ,,,false,,,17.0,,
1,877,3802.0,Alphubel South@3805, RGI60-11.01150 ,,,false,,,45.0,,
1,879,3820.0,Alphubel South@3825, RGI60-11.01150 ,,,false,,,40.0,,
1,675,3019.1,Altelsgletscher@3015, RGI60-11.01265 ,,,false,,,21.0,,
1,680,3810.0,Breithornplateau@3815, RGI60-11.01225 ,,,false,,,30.0,,
1,307,3889.0,Fieschergletscher@3885, RGI60-11.02611 ,,,false,,,153.0,,
1,306,3893.0,Fieschergletscher@3895, RGI60-11.02611 ,,,false,,,140.7,,
1,595,3830.0,Glacier de Taconnaz@3835, RGI60-11.00774 ,,,false,,,18.0,,
1,594,4000.0,Glacier de Taconnaz@4005, RGI60-11.00774 ,,,false,,,18.0,,
1,588,4215.0,Glacier de Taconnaz@4215, RGI60-11.00774 ,,,false,,,18.0,,
1,581,4285.0,Glacier de Taconnaz@4285, RGI60-11.00774 ,,,false,,,18.0,,
1,584,4290.0,Glacier de Taconnaz@4295, RGI60-11.00774 ,,,false,,,18.0,,
1,897,2891.0,Glacier de Tortin@2895, RGI60-11.01039 ,,,false,,,15.2,,
1,64,3138.1,Glacier de Tête Rousse@3135, RGI60-11.00777 ,,,false,,,32.5,,
1,427,3149.6,Glacier de Tête Rousse@3145, RGI60-11.00777 ,,,false,,,46.0,,
1,65,3158.3,Glacier de Tête Rousse@3155, RGI60-11.00777 ,,,false,,,46.2,,
1,66,3165.3,Glacier de Tête Rousse@3165, RGI60-11.00777 ,,,false,,,65.0,,
1,67,3172.4,Glacier de Tête Rousse@3175, RGI60-11.00777 ,,,false,,,69.2,,
1,69,3182.0,Glacier de Tête Rousse@3185, RGI60-11.00777 ,,,false,,,66.0,,
1,434,3195.3,Glacier de Tête Rousse@3195, RGI60-11.00777 ,,,false,,,35.7,,
1,70,3206.4,Glacier de Tête Rousse@3205, RGI60-11.00777 ,,,false,,,70.0,,
1,596,3930.0,Glacier des Bossons@3935, RGI60-11.00773 ,,,false,,,18.0,,
1,592,4000.0,Glacier des Bossons@4005, RGI60-11.00773 ,,,false,,,18.0,,
1,591,4010.0,Glacier des Bossons@4015, RGI60-11.00773 ,,,false,,,18.0,,
1,590,4120.0,Glacier des Bossons@4125, RGI60-11.00773 ,,,false,,,18.0,,
1,589,4135.0,Glacier des Bossons@4135, RGI60-11.00773 ,,,false,,,18.0,,
1,586,4190.0,Glacier des Bossons@4195, RGI60-11.00773 ,,,false,,,18.0,,
1,587,4210.0,Glacier des Bossons@4215, RGI60-11.00773 ,,,false,,,18.0,,
1,10,4245.0,Glacier des Bossons@4245, RGI60-11.00773 ,,,false,,,125.6,,
1,13,4255.0,Glacier des Bossons@4255, RGI60-11.00773 ,,,false,,,103.1,,
1,585,4265.0,Glacier des Bossons@4265, RGI60-11.00773 ,,,false,,,18.0,,
1,597,4270.0,Glacier des Bossons@4275, RGI60-11.00773 ,,,false,,,20.0,,
1,465,4280.0,Glacier des Bossons@4285, RGI60-11.00773 ,,,false,,,18.0,,
1,579,4290.0,Glacier des Bossons@4295, RGI60-11.00773 ,,,false,,,18.0,,
1,8,4300.0,Glacier des Bossons@4305, RGI60-11.00773 ,,,false,,,39.8,,
1,577,4510.0,Glacier des Bossons@4515, RGI60-11.00773 ,,,false,,,12.0,,
1,601,3820.0,Glacier du Pelvoux@3825, RGI60-11.00245 ,,,false,,,13.0,,
1,895,2760.0,Glacier du Sex Rouge@2765, RGI60-11.01309 ,,,false,,,14.4,,
1,894,2787.0,Glacier du Sex Rouge@2785, RGI60-11.01309 ,,,false,,,15.2,,
1,182,2810.0,Glacier du Sex Rouge@2815, RGI60-11.01309 ,,,false,,,34.9,,
1,85,2529.0,Gornergletscher@2525, RGI60-11.01225 ,,,false,,,292.8,,
1,86,2540.0,Gornergletscher@2545, RGI60-11.01225 ,,,false,,,318.4,,
1,87,2550.0,Gornergletscher@2555, RGI60-11.01225 ,,,false,,,347.7,,
1,292,2015.0,Grenzgletscher@2015, RGI60-11.01225 ,,,false,,,267.3,,
1,3,2500.0,Grenzgletscher@2505, RGI60-11.01225 ,,,false,,,106.5,,
1,171,2527.0,Grenzgletscher@2525, RGI60-11.01225 ,,,false,,,202.1,,
1,2,2600.0,Grenzgletscher@2605, RGI60-11.01225 ,,,false,,,347.9,,
1,662,3898.0,Grenzgletscher@3895, RGI60-11.01225 ,,,false,,,18.0,,
1,661,3951.0,Grenzgletscher@3955, RGI60-11.01225 ,,,false,,,21.0,,
1,659,3985.0,Grenzgletscher@3985, RGI60-11.01225 ,,,false,,,20.0,,
1,660,3990.0,Grenzgletscher@3995, RGI60-11.01225 ,,,false,,,22.0,,
1,671,4000.0,Grenzgletscher@4005, RGI60-11.01225 ,,,false,,,14.0,,
1,658,4090.0,Grenzgletscher@4095, RGI60-11.01225 ,,,false,,,21.0,,
1,35,4100.0,Grenzgletscher@4105, RGI60-11.01225 ,,,false,,,14.0,,
1,664,4151.0,Grenzgletscher@4155, RGI60-11.01225 ,,,false,,,22.0,,
1,36,4200.0,Grenzgletscher@4205, RGI60-11.01225 ,,,false,,,118.0,,
1,17,4250.0,Grenzgletscher@4255, RGI60-11.01225 ,,,false,,,30.0,,
1,656,4283.0,Grenzgletscher@4285, RGI60-11.01225 ,,,false,,,21.0,,
1,271,4293.0,Grenzgletscher@4295, RGI60-11.01225 ,,,false,,,34.6,,
1,34,4300.0,Grenzgletscher@4305, RGI60-11.01225 ,,,false,,,14.0,,
1,269,4330.0,Grenzgletscher@4335, RGI60-11.01225 ,,,false,,,22.0,,
1,645,4400.0,Grenzgletscher@4405, RGI60-11.01225 ,,,false,,,30.0,,
1,144,4448.0,Grenzgletscher@4445, RGI60-11.01225 ,,,false,,,101.0,,
1,1,4450.0,Grenzgletscher@4455, RGI60-11.01230 ,,,false,,,80.0,,
1,566,4468.0,Grenzgletscher@4465, RGI60-11.01230 ,,,false,,,76.0,,
1,15,4470.0,Grenzgletscher@4475, RGI60-11.01225 ,,,false,,,61.0,,
1,563,4482.5,Grenzgletscher@4485, RGI60-11.01225 ,,,false,,,26.0,,
1,510,2870.0,Grubengletscher@2875, RGI60-11.01127 ,,,false,,,26.5,,
1,511,2880.0,Grubengletscher@2885, RGI60-11.01127 ,,,false,,,30.0,,
1,508,2900.0,Grubengletscher@2905, RGI60-11.01127 ,,,false,,,13.0,,
1,507,3200.0,Grubengletscher@3205, RGI60-11.01127 ,,,false,,,15.0,,
1,506,3300.0,Grubengletscher@3305, RGI60-11.01127 ,,,false,,,15.0,,
1,519,2550.0,Hintereisferner@2555, RGI60-11.03116 ,,,false,,,11.1,,
1,518,2610.0,Hintereisferner@2615, RGI60-11.03116 ,,,false,,,12.5,,
1,514,2800.0,Hintereisferner@2805, RGI60-11.03116 ,,,false,,,10.0,,
1,517,2950.0,Hintereisferner@2955, RGI60-11.03116 ,,,false,,,14.6,,
1,516,3060.0,Hintereisferner@3065, RGI60-11.03116 ,,,false,,,14.8,,
1,515,3150.0,Hintereisferner@3155, RGI60-11.03116 ,,,false,,,14.8,,
1,881,3278.0,Hohsaasgletscher@3275, RGI60-11.01112 ,,,false,,,21.5,,
1,892,3284.0,Hohsaasgletscher@3285, RGI60-11.01112 ,,,false,,,15.6,,
1,882,3292.0,Hohsaasgletscher@3295, RGI60-11.01112 ,,,false,,,21.5,,
1,893,3337.0,Hohsaasgletscher@3335, RGI60-11.01112 ,,,false,,,15.4,,
1,880,3349.0,Hohsaasgletscher@3345, RGI60-11.01112 ,,,false,,,29.0,,
1,31,3410.0,Jungfraufirn@3415, RGI60-11.02596 ,,,false,,,20.0,,
1,32,3530.0,Jungfraufirn@3535, RGI60-11.02596 ,,,false,,,20.0,,
1,30,3540.0,Jungfraufirn@3545, RGI60-11.02596 ,,,false,,,20.0,,
1,679,3630.0,Jungfraufirn@3635, RGI60-11.02596 ,,,false,,,20.0,,
1,667,4030.0,Lysgletscher@4035, RGI60-11.01205 ,,,false,,,22.0,,
1,666,4087.0,Lysgletscher@4085, RGI60-11.01205 ,,,false,,,18.0,,
1,669,4110.0,Lysgletscher@4115, RGI60-11.01205 ,,,false,,,18.0,,
1,665,4134.0,Lysgletscher@4135, RGI60-11.01205 ,,,false,,,22.0,,
1,663,4220.0,Lysgletscher@4225, RGI60-11.01205 ,,,false,,,22.0,,
